uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1727094981","23 Sep 2024, 12:36","久石譲","44c64a30-1d58-49c5-b314-6e02fba49526","Princess Mononoke Image Album","6af812fd-b5d0-4053-8093-feb4464bd12d","The Legend of Ashitaka","1d161c5e-a8d6-38ba-a353-d05b1e536354"
"1727094709","23 Sep 2024, 12:31","Satoshi Takebe","e29e0432-6058-4efd-8bbe-bc40a1f020f6","From Up On Poppy Hill Soundtrack","","Off To School In The Morning","c42464cd-4556-4c14-9fe6-3cd8d527fed5"
"1727094432","23 Sep 2024, 12:27","久石譲","44c64a30-1d58-49c5-b314-6e02fba49526","Laputa: Castle in the Sky Soundtrack -The Mystery of the Levitation Stone-","","Castle in the Sky","744af7e2-aa04-3f8c-afa0-165adaf36047"
"1727094322","23 Sep 2024, 12:25","星勝","b6900027-a6d3-4904-95fe-f17780474b20","Only Yesterday Original Soundtrack","","Main Theme","03731b4a-3396-381d-84ac-5755653935a3"
"1727094144","23 Sep 2024, 12:22","久石譲","44c64a30-1d58-49c5-b314-6e02fba49526","Howl's Moving Castle Soundtrack","","The Flower Garden","8ccf40d1-9bc8-400e-a03d-dc75c3ed9d8f"
"1727093733","23 Sep 2024, 12:15","Chieko Baisho","","Howl's Moving Castle Soundtrack","","Ending Song - The Promise of the World - Merry-Go-Round of Life",""
"1727093558","23 Sep 2024, 12:12","久石譲","44c64a30-1d58-49c5-b314-6e02fba49526","Nausicaä of the Valley of the Wind Soundtrack: Towards the Faraway Land","","Nausicaä Requiem","f011aa52-19f1-4706-ade2-d4b9dc137f4e"
"1727093259","23 Sep 2024, 12:07","久石譲","44c64a30-1d58-49c5-b314-6e02fba49526","Symphonic Suite Princess Mononoke","","3rd Movement The Journey To The West",""
"1727093079","23 Sep 2024, 12:04","久石譲","44c64a30-1d58-49c5-b314-6e02fba49526","Kiki's Delivery Service Soundtrack Music Collection","96c688d6-68ef-4cef-bf6c-d2979a9ea32d","A Town with an Ocean View","1e81e672-a8b0-47d9-be1c-73ea610c1b48"
"1727092856","23 Sep 2024, 12:00","久石譲","44c64a30-1d58-49c5-b314-6e02fba49526","My Neighbor Totoro Sound Book","210b33f6-9067-3862-8e9d-4704fbd91ba2","The Path of the Wind",""
"1727092733","23 Sep 2024, 11:58","久石譲","44c64a30-1d58-49c5-b314-6e02fba49526","The Tale of The Princess Kaguya Soundtrack","","Spring Waltz","7b180ef5-8a6e-4b88-b3f5-155eecc5804a"
"1727092585","23 Sep 2024, 11:56","久石譲","44c64a30-1d58-49c5-b314-6e02fba49526","Laputa: Castle in the Sky Soundtrack -The Mystery of the Levitation Stone-","","The Girl Who Fell From the Sky","6f755b8e-202a-3ae6-8ef4-7c78f69302c9"
"1727090614","23 Sep 2024, 11:23","久石譲","","Spirited Away Soundtrack","300c5b5e-f2ec-42b9-be93-d87d84a546eb","One Summer Day",""
